Artist and Title,Streams,Daily,year
Jessie J - Who You Are,165826415,36255.0,2011
Vierra - Seandainya,165566167,282592.0,2011
Britney Spears - Till the World Ends,165446318,58272.0,2011
Drake - Practice,165284112,321457.0,2011
Lady Gaga - Yoü And I,165094104,54067.0,2011
Gusttavo Lima - Balada,164915994,85595.0,2011
Chris Brown - Beautiful People,160321209,46697.0,2011
Rodney Atkins - Take A Back Road,160301238,46643.0,2011
Michael Bublé - Cold December Night,160059188,113529.0,2011
Technotronic - Pump Up The Jam,160014869,67674.0,2011
Drake - Cameras / Good Ones Go Interlude,158583390,276929.0,2011
M83 - Outro,158070397,137369.0,2011
T-Pain - Best Love Song,156062447,61986.0,2011
Maná - Amor Clandestino,155203977,99215.0,2011
J. Cole - In The Morning,155131247,95113.0,2011
The Kooks - Junk Of The Heart (Happy),153982091,46875.0,2011
Banda MS de Sergio Lizárraga - Mi Olvido,153842290,47277.0,2011
