title,artist,release_year,explicit,energy,valence,casing,is_uniform
Troublemaker,Olly Murs,2012,False,0.857,0.967,mixed,mixed
Body Party,Ciara,2013,False,0.599,0.106,mixed,mixed
Adorn,Miguel,2012,False,0.585,0.22,mixed,mixed
Hall of Fame,The Script,2012,False,0.873,0.629,mixed,mixed
Let Me Love You,Ne-Yo,2012,False,0.677,0.248,mixed,mixed
U.O.E.N.O.,Rocko,2013,True,0.651,0.67,upper,uniform
Next To Me,Emeli Sandé,2012,False,0.81,0.391,mixed,mixed
Mama's Broken Heart,Miranda Lambert,2011,False,0.809,0.748,mixed,mixed
It Goes Like This,Thomas Rhett,2013,False,0.837,0.506,mixed,mixed
Bugatti,Ace Hood,2013,True,0.592,0.0663,mixed,mixed
Wanted,Hunter Hayes,2011,False,0.476,0.3,mixed,mixed
Downtown,Lady A,2013,False,0.8250000000000001,0.96,mixed,mixed
Get Your Shine On,Florida Georgia Line,2012,False,0.927,0.607,mixed,mixed
#thatPOWER,will.i.am,2013,False,0.608,0.403,mixed,mixed
Brave,Sara Bareilles,2013,False,0.836,0.758,mixed,mixed
Let Her Go,Passenger,2012,False,0.545,0.244,mixed,mixed
Runnin' Outta Moonlight,Randy Houser,2013,False,0.801,0.769,mixed,mixed
I'm Different,2 Chainz,2012,True,0.7020000000000001,0.704,mixed,mixed
Still into You,Paramore,2013,False,0.923,0.765,mixed,mixed
Happy,Pharrell Williams,2014,False,0.8220000000000001,0.962,mixed,mixed
Dark Horse,Katy Perry,2013,False,0.585,0.353,mixed,mixed
All of Me,John Legend,2013,False,0.264,0.331,mixed,mixed
Fancy,Iggy Azalea,2014,True,0.716,0.377,mixed,mixed
Counting Stars,OneRepublic,2014,False,0.705,0.477,mixed,mixed
Talk Dirty,Jason Derulo,2013,True,0.652,0.759,mixed,mixed
Rude,MAGIC!,2013,False,0.807,0.899,mixed,mixed
All About That Bass,Meghan Trainor,2015,True,0.887,0.961,mixed,mixed
Problem,Ariana Grande,2014,False,0.805,0.625,mixed,mixed
Stay With Me,Sam Smith,2014,False,0.42,0.184,mixed,mixed
Timber,Pitbull,2013,False,0.965,0.8250000000000001,mixed,mixed
Pompeii,Bastille,2013,False,0.715,0.5710000000000001,mixed,mixed
Shake It Off,Taylor Swift,2014,False,0.8,0.942,mixed,mixed
Am I Wrong,Nico & Vinz,2014,False,0.68,0.76,mixed,mixed
Turn Down for What,DJ Snake,2013,False,0.799,0.0815,mixed,mixed
The Monster,Eminem,2013,True,0.853,0.624,mixed,mixed
Say Something,A Great Big World,2014,False,0.147,0.0765,mixed,mixed
Team,Lorde,2013,False,0.578,0.416,mixed,mixed
Let Her Go,Passenger,2012,False,0.545,0.244,mixed,mixed
Royals,Lorde,2013,False,0.428,0.337,mixed,mixed
Let It Go,Idina Menzel,2013,False,0.485,0.369,mixed,mixed
Wake Me Up,Avicii,2013,False,0.806,0.577,mixed,mixed
Demons,Imagine Dragons,2012,False,0.71,0.428,mixed,mixed
Story of My Life,One Direction,2013,False,0.663,0.293,mixed,mixed
Chandelier,Sia,2014,False,0.787,0.5720000000000001,mixed,mixed
Black Widow,Iggy Azalea,2014,True,0.72,0.519,mixed,mixed
Bang Bang,Jessie J,2014,False,0.747,0.7000000000000001,mixed,mixed
Latch,Disclosure,2013,False,0.735,0.544,mixed,mixed
