artist,title,year,gender,birth_year,casing,is_uniform
Kay Flock,PSA,2021,male,2003.0,upper,uniform
Rizky Febian,Hingga Tua Bersama,2021,male,1998.0,mixed,mixed
Rauw Alejandro,Cosa Guapa,2021,male,1993.0,mixed,mixed
Kygo,Love Me Now,2021,male,1991.0,mixed,mixed
Rod Wave,Richer,2021,male,1998.0,mixed,mixed
Ava Max,EveryTime I Cry,2021,female,1994.0,mixed,mixed
Taylor Swift,Better Man,2021,female,1989.0,mixed,mixed
Clairo,Amoeba,2021,female,1998.0,mixed,mixed
ArrDee,Flowers,2021,male,2002.0,mixed,mixed
Drake,N 2 Deep,2021,male,1986.0,mixed,mixed
Thomas Rhett,What’s Your Country Song,2021,female,1990.0,mixed,mixed
Tiara Andini,Janji Setia,2021,female,2001.0,mixed,mixed
Emir Can İğrek,Kor,2021,male,1993.0,mixed,mixed
Rod Wave,Tombstone,2021,male,1998.0,mixed,mixed
Marina Sena,Por Supuesto,2021,female,1996.0,mixed,mixed
Tayc,Le temps,2021,male,1996.0,mixed,mixed
Bizarrap,"Ptazeta: Bzrp Music Sessions, Vol. 45",2021,male,1998.0,mixed,mixed
Adele,My Little Love,2021,female,1988.0,mixed,mixed
Feid,CHIMBITA,2021,male,1992.0,upper,uniform
Anne-Marie,Don't Play,2021,female,1991.0,mixed,mixed
Yura Yunita,Dunia Tipu-Tipu,2021,female,1991.0,mixed,mixed
Trippie Redd,Matt Hardy 999,2021,male,1999.0,mixed,mixed
Jão,Idiota,2021,male,1994.0,mixed,mixed
Tory Lanez,Lady Of Namek,2021,female,1992.0,mixed,mixed
Central Cee,6 For 6,2021,male,1998.0,mixed,mixed
Lil Baby,Real As It Gets,2021,male,1994.0,mixed,mixed
James Arthur,September,2021,female,1988.0,mixed,mixed
Imanbek,Dancing On Dangerous,2021,male,2000.0,mixed,mixed
Bebe Rexha,Sacrifice,2021,female,1989.0,mixed,mixed
Stromae,Santé,2021,male,1985.0,mixed,mixed
Giveon,All To Me,2021,male,1995.0,mixed,mixed
Gusttavo Lima,De Menina pra Mulher,2021,male,1989.0,mixed,mixed
Pink Sweat$,At My Worst,2021,male,1992.0,mixed,mixed
DJ Khaled,I DID IT,2021,male,1975.0,upper,uniform
Sleepy Hallow,Basketball Dreams,2021,male,1999.0,mixed,mixed
Laura Les,Haunted,2021,female,1994.0,mixed,mixed
Yeat,Turban,2021,male,2000.0,mixed,mixed
Mimi Webb,Dumb Love,2021,female,2000.0,mixed,mixed
Soso Maness,Petrouchka,2021,female,1987.0,mixed,mixed
Kanye West,Believe What I Say,2021,female,1977.0,mixed,mixed
Megan Thee Stallion,Megan's Piano,2021,female,1995.0,mixed,mixed
The Kid LAROI,NEED YOU MOST,2021,male,2003.0,upper,uniform
PinkPantheress,I Must Apologise,2021,female,2001.0,mixed,mixed
Drake,IMY2,2021,male,1986.0,upper,uniform
Sueco,Paralyzed,2021,male,1997.0,mixed,mixed
A Boogie Wit da Hoodie,Man in the Mirror,2021,male,1995.0,mixed,mixed
Wesley Safadão,Passatempo,2021,male,1988.0,mixed,mixed
Chase Rice,Lonely If You Are,2021,male,1985.0,mixed,mixed
PEDRO SAMPAIO,ATENÇÃO,2021,male,1997.0,upper,uniform
Brytiago,Desnudarte,2021,male,1992.0,mixed,mixed
Justin Bieber,Deserve You,2021,male,1994.0,mixed,mixed
Skrillex,Don’t Go,2021,male,1988.0,mixed,mixed
Feid,VACAXIONES,2021,male,1992.0,upper,uniform
Morgan Wallen,Bandaid On A Bullet Hole,2021,male,1993.0,mixed,mixed
Sheena Easton,We've Got Tonight,2021,female,1959.0,mixed,mixed
Ninho,VVS,2021,male,1996.0,upper,uniform
Taylor Swift,State Of Grace,2021,female,1989.0,mixed,mixed
Adele,To Be Loved,2021,female,1988.0,mixed,mixed
Bo Burnham,All Eyes On Me,2021,male,1990.0,mixed,mixed
The Kid LAROI,MAYBE,2021,male,2003.0,upper,uniform
PEDRO SAMPAIO,FALA MAL DE MIM,2021,male,1997.0,upper,uniform
Tiara Andini,Maafkan Aku #terlanjurmencinta,2021,female,2001.0,mixed,mixed
"Tyler, The Creator",HOT WIND BLOWS,2021,male,1991.0,upper,uniform
Koba LaD,Daddy chocolat,2021,female,2000.0,mixed,mixed
J. Cole,9 5 . s o u t h,2021,male,1985.0,lower,uniform
Billy Currington,We Are Tonight,2021,male,1973.0,mixed,mixed
Alan Walker,Man On The Moon,2021,male,1997.0,mixed,mixed
Omah Lay,understand,2021,male,1997.0,lower,uniform
Jameson Rodgers,Cold Beer Calling My Name,2021,female,1987.0,mixed,mixed
Tayc,D O D O,2021,male,1996.0,upper,uniform
Billie Eilish,GOLDWING,2021,female,2001.0,upper,uniform
Natanael Cano,Diamantes,2021,male,2001.0,mixed,mixed
J. Cole,l e t . g o . m y . h a n d,2021,male,1985.0,lower,uniform
Alessia Cara,Make It To Christmas,2021,female,1996.0,mixed,mixed
Marília Mendonça,Motel Afrodite,2021,female,1995.0,mixed,mixed
Taylor Swift,Babe,2021,female,1989.0,mixed,mixed
John Mayer,Last Train Home,2021,male,1977.0,mixed,mixed
Rkomi,LA CODA DEL DIAVOLO,2021,male,1994.0,upper,uniform
Polo G,No Return,2021,male,1999.0,mixed,mixed
Lil Tjay,Move On,2021,male,2001.0,mixed,mixed
Pop Smoke,Demeanor,2021,male,1999.0,mixed,mixed
Rkomi,LUNA PIENA,2021,male,1994.0,upper,uniform
Jhayco,Christian Dior,2021,male,1993.0,mixed,mixed
JEON SOMI,What You Waiting For,2021,female,2001.0,mixed,mixed
David Bisbal,Me Enamoré De Ti,2021,male,1979.0,mixed,mixed
Justin Bieber,Loved By You,2021,male,1994.0,mixed,mixed
Fedez,MILLE,2021,male,1989.0,upper,uniform
DJ Khaled,LET IT GO,2021,male,1975.0,upper,uniform
Drake,Get Along Better,2021,male,1986.0,mixed,mixed
David Bisbal,Diez Mil Maneras,2021,male,1979.0,mixed,mixed
David Bisbal,Mi Princesa,2021,male,1979.0,mixed,mixed
Taylor Swift,You All Over Me,2021,female,1989.0,mixed,mixed
C. Tangana,Párteme La Cara,2021,male,1990.0,mixed,mixed
Enrique Iglesias,ME PASE,2021,male,1975.0,upper,uniform
JEON SOMI,XOXO,2021,female,2001.0,upper,uniform
"Tyler, The Creator",LEMONHEAD,2021,male,1991.0,upper,uniform
H.E.R.,Damage,2021,female,1997.0,mixed,mixed
Harry Styles,As It Was,2022,male,1994.0,mixed,mixed
Bad Bunny,Me Porto Bonito,2022,male,1994.0,mixed,mixed
SZA,Kill Bill,2022,female,1989.0,mixed,mixed
Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",2022,male,1998.0,mixed,mixed
Manuel Turizo,La Bachata,2022,male,2000.0,mixed,mixed
Sam Smith,Unholy,2022,female,1992.0,mixed,mixed
Bad Bunny,Tití Me Preguntó,2022,male,1994.0,mixed,mixed
David Guetta,I'm Good,2022,male,1967.0,mixed,mixed
Taylor Swift,Anti-Hero,2022,female,1989.0,mixed,mixed
Bad Bunny,Ojitos Lindos,2022,male,1994.0,mixed,mixed
Bad Bunny,Efecto,2022,male,1994.0,mixed,mixed
Joji,Glimpse of Us,2022,male,1992.0,mixed,mixed
Metro Boomin,Creepin',2022,male,1993.0,mixed,mixed
KAROL G,PROVENZA,2022,female,1991.0,upper,uniform
Bad Bunny,Moscow Mule,2022,male,1994.0,mixed,mixed
Steve Lacy,Bad Habit,2022,male,1998.0,mixed,mixed
JVKE,golden hour,2022,male,2001.0,lower,uniform
ROSALÍA,DESPECHÁ,2022,female,1992.0,upper,uniform
Rosa Linn,SNAP,2022,female,2000.0,upper,uniform
Harry Styles,Late Night Talking,2022,male,1994.0,mixed,mixed
Ozuna,Hey Mor,2022,male,1992.0,mixed,mixed
Charlie Puth,Left and Right,2022,male,1991.0,mixed,mixed
Camila Cabello,Bam Bam,2022,female,1997.0,mixed,mixed
Stephen Sanchez,Until I Found You,2022,male,2002.0,mixed,mixed
Becky G,MAMIII,2022,female,1997.0,upper,uniform
Drake,Jimmy Cooks,2022,male,1986.0,mixed,mixed
Lizzo,About Damn Time,2022,female,1988.0,mixed,mixed
Feid,Feliz Cumpleaños Ferxxo,2022,male,1992.0,mixed,mixed
Nicky Youre,Sunroof,2022,male,1999.0,mixed,mixed
Jack Harlow,First Class,2022,male,1998.0,mixed,mixed
Bad Bunny,Neverita,2022,male,1994.0,mixed,mixed
Yandel,Yandel 150,2022,male,1978.0,mixed,mixed
Post Malone,I Like You,2022,male,1995.0,mixed,mixed
Drake,Rich Flex,2022,male,1986.0,mixed,mixed
Beyoncé,CUFF IT,2022,female,1981.0,upper,uniform
SZA,Snooze,2022,female,1989.0,mixed,mixed
RAYE,Escapism.,2022,female,1997.0,mixed,mixed
Bad Bunny,Tarot,2022,male,1994.0,mixed,mixed
Shakira,Te Felicito,2022,female,1977.0,mixed,mixed
Bad Bunny,Party,2022,male,1994.0,mixed,mixed
Zach Bryan,Something in the Orange,2022,male,1996.0,mixed,mixed
Arcángel,La Jumpa,2022,male,1985.0,mixed,mixed
Taylor Swift,Karma,2022,female,1989.0,mixed,mixed
Taylor Swift,Lavender Haze,2022,female,1989.0,mixed,mixed
Meghan Trainor,Made You Look,2022,female,1993.0,mixed,mixed
Feid,Normal,2022,male,1992.0,mixed,mixed
Central Cee,Doja,2022,male,1998.0,mixed,mixed
Natanael Cano,AMG,2022,male,2001.0,upper,uniform
Lil Uzi Vert,Just Wanna Rock,2022,female,1995.0,mixed,mixed
Kordhell,MURDER IN MY MIND,2022,male,1980.0,upper,uniform
Dove Cameron,Boyfriend,2022,female,1996.0,mixed,mixed
Sabrina Carpenter,Nonsense,2022,female,1999.0,mixed,mixed
Taylor Swift,Midnight Rain,2022,female,1989.0,mixed,mixed
Rauw Alejandro,LOKERA,2022,male,1993.0,upper,uniform
Charlie Puth,Light Switch,2022,male,1991.0,mixed,mixed
Metro Boomin,Superhero,2022,male,1993.0,mixed,mixed
James Hype,Ferrari,2022,male,1989.0,mixed,mixed
Bad Bunny,La Corriente,2022,male,1994.0,mixed,mixed
Benson Boone,In The Stars,2022,male,2002.0,mixed,mixed
Libianca,People,2022,female,2000.0,mixed,mixed
The Weeknd,Is There Someone Else?,2022,male,1990.0,mixed,mixed
Doja Cat,Vegas,2022,female,1995.0,mixed,mixed
